"time_period","time_identifier","geographic_level","country_name","country_code","age_youth_adult","age_summary","ssa_tier_1","learner_home_depriv","apps_level","apps_level_detailed","participation","starts","achievements"
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",One (most deprived),Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Higher Apprenticeship,Level 6,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Total,Higher Apprenticeship,Level 7,z,10,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Two,Higher Apprenticeship,Level 7,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Three,Higher Apprenticeship,Level 7,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Four,Higher Apprenticeship,Level 7,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Arts, Media and Publishing",Five (least deprived),Higher Apprenticeship,Level 7,z,low,low
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Total,Total,Total,z,94430,41970
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",One (most deprived),Total,Total,z,17140,8300
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Two,Total,Total,z,18940,8360
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Three,Total,Total,z,19010,8380
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Four,Total,Total,z,19260,8400
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Five (least deprived),Total,Total,z,19040,8190
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Unknown,Total,Total,z,1050,340
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Total,Intermediate Apprenticeship,Total,z,15550,14290
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",One (most deprived),Intermediate Apprenticeship,Total,z,4170,3730
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Two,Intermediate Apprenticeship,Total,z,3310,3030
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Three,Intermediate Apprenticeship,Total,z,3000,2680
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Four,Intermediate Apprenticeship,Total,z,2700,2640
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Five (least deprived),Intermediate Apprenticeship,Total,z,2280,2150
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Unknown,Intermediate Apprenticeship,Total,z,100,70
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Total,Intermediate Apprenticeship,Level 2,z,15550,14290
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",One (most deprived),Intermediate Apprenticeship,Level 2,z,4170,3730
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Two,Intermediate Apprenticeship,Level 2,z,3310,3030
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Three,Intermediate Apprenticeship,Level 2,z,3000,2680
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Four,Intermediate Apprenticeship,Level 2,z,2700,2640
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Five (least deprived),Intermediate Apprenticeship,Level 2,z,2280,2150
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Unknown,Intermediate Apprenticeship,Level 2,z,100,70
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Total,Advanced Apprenticeship,Total,z,38000,18810
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",One (most deprived),Advanced Apprenticeship,Total,z,7820,3430
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Two,Advanced Apprenticeship,Total,z,8110,3710
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Three,Advanced Apprenticeship,Total,z,7600,3900
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Four,Advanced Apprenticeship,Total,z,7180,3810
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Five (least deprived),Advanced Apprenticeship,Total,z,6930,3810
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Unknown,Advanced Apprenticeship,Total,z,360,150
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Total,Advanced Apprenticeship,Level 3,z,38000,18810
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",One (most deprived),Advanced Apprenticeship,Level 3,z,7820,3430
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Two,Advanced Apprenticeship,Level 3,z,8110,3710
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Three,Advanced Apprenticeship,Level 3,z,7600,3900
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Four,Advanced Apprenticeship,Level 3,z,7180,3810
201920,Academic year,National,England,E92000001,Total,Total,"Business, Administration and Law",Five (least deprived),Advanced Apprenticeship,Level 3,z,6930,3810
